id,task,variation_id,prompt,ground_truth
82,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #2,Guten Morgen
83,Instruction Following,1,Translate 'Good morning' into German. Example #3,Guten Morgen
83,Instruction Following,2,Can you tell me translate 'good morning' into german. example #3,Guten Morgen
83,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #3,Guten Morgen
83,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #3,Guten Morgen
83,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #3,Guten Morgen
84,Instruction Following,1,Translate 'Good morning' into German. Example #4,Guten Morgen
84,Instruction Following,2,Can you tell me translate 'good morning' into german. example #4,Guten Morgen
84,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #4,Guten Morgen
84,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #4,Guten Morgen
84,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #4,Guten Morgen
85,Instruction Following,1,Translate 'Good morning' into German. Example #5,Guten Morgen
85,Instruction Following,2,Can you tell me translate 'good morning' into german. example #5,Guten Morgen
85,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #5,Guten Morgen
85,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #5,Guten Morgen
85,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #5,Guten Morgen
86,Instruction Following,1,Translate 'Good morning' into German. Example #6,Guten Morgen
86,Instruction Following,2,Can you tell me translate 'good morning' into german. example #6,Guten Morgen
86,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #6,Guten Morgen
86,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #6,Guten Morgen
86,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #6,Guten Morgen
87,Instruction Following,1,Translate 'Good morning' into German. Example #7,Guten Morgen
87,Instruction Following,2,Can you tell me translate 'good morning' into german. example #7,Guten Morgen
87,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #7,Guten Morgen
87,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #7,Guten Morgen
87,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #7,Guten Morgen
88,Instruction Following,1,Translate 'Good morning' into German. Example #8,Guten Morgen
88,Instruction Following,2,Can you tell me translate 'good morning' into german. example #8,Guten Morgen
88,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #8,Guten Morgen
88,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #8,Guten Morgen
88,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #8,Guten Morgen
89,Instruction Following,1,Translate 'Good morning' into German. Example #9,Guten Morgen
89,Instruction Following,2,Can you tell me translate 'good morning' into german. example #9,Guten Morgen
89,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #9,Guten Morgen
89,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #9,Guten Morgen
89,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #9,Guten Morgen
90,Instruction Following,1,Translate 'Good morning' into German. Example #10,Guten Morgen
90,Instruction Following,2,Can you tell me translate 'good morning' into german. example #10,Guten Morgen
90,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #10,Guten Morgen
90,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #10,Guten Morgen
90,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #10,Guten Morgen
91,Instruction Following,1,Translate 'Good morning' into German. Example #11,Guten Morgen
91,Instruction Following,2,Can you tell me translate 'good morning' into german. example #11,Guten Morgen
91,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #11,Guten Morgen
91,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #11,Guten Morgen
91,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #11,Guten Morgen
92,Instruction Following,1,Translate 'Good morning' into German. Example #12,Guten Morgen
92,Instruction Following,2,Can you tell me translate 'good morning' into german. example #12,Guten Morgen
92,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #12,Guten Morgen
92,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #12,Guten Morgen
92,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #12,Guten Morgen
93,Instruction Following,1,Translate 'Good morning' into German. Example #13,Guten Morgen
93,Instruction Following,2,Can you tell me translate 'good morning' into german. example #13,Guten Morgen
93,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #13,Guten Morgen
93,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #13,Guten Morgen
93,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #13,Guten Morgen
94,Instruction Following,1,Translate 'Good morning' into German. Example #14,Guten Morgen
94,Instruction Following,2,Can you tell me translate 'good morning' into german. example #14,Guten Morgen
94,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #14,Guten Morgen
94,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #14,Guten Morgen
94,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #14,Guten Morgen
95,Instruction Following,1,Translate 'Good morning' into German. Example #15,Guten Morgen
95,Instruction Following,2,Can you tell me translate 'good morning' into german. example #15,Guten Morgen
95,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #15,Guten Morgen
95,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #15,Guten Morgen
95,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #15,Guten Morgen
96,Instruction Following,1,Translate 'Good morning' into German. Example #16,Guten Morgen
96,Instruction Following,2,Can you tell me translate 'good morning' into german. example #16,Guten Morgen
96,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #16,Guten Morgen
96,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #16,Guten Morgen
96,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #16,Guten Morgen
97,Instruction Following,1,Translate 'Good morning' into German. Example #17,Guten Morgen
97,Instruction Following,2,Can you tell me translate 'good morning' into german. example #17,Guten Morgen
97,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #17,Guten Morgen
97,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #17,Guten Morgen
97,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #17,Guten Morgen
98,Instruction Following,1,Translate 'Good morning' into German. Example #18,Guten Morgen
98,Instruction Following,2,Can you tell me translate 'good morning' into german. example #18,Guten Morgen
98,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #18,Guten Morgen
98,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #18,Guten Morgen
98,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #18,Guten Morgen
99,Instruction Following,1,Translate 'Good morning' into German. Example #19,Guten Morgen
99,Instruction Following,2,Can you tell me translate 'good morning' into german. example #19,Guten Morgen
99,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #19,Guten Morgen
99,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #19,Guten Morgen
99,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #19,Guten Morgen
100,Instruction Following,1,Translate 'Good morning' into German. Example #20,Guten Morgen
100,Instruction Following,2,Can you tell me translate 'good morning' into german. example #20,Guten Morgen
100,Instruction Following,3,Please answer: Translate 'Good morning' into German. Example #20,Guten Morgen
100,Instruction Following,4,I would like to know: Translate 'Good morning' into German. Example #20,Guten Morgen
100,Instruction Following,5,Kindly respond to the following question: Translate 'Good morning' into German. Example #20,Guten Morgen
